Comment,Designator,Footprint, PN
68u,"C17,C1001",Capacitor_SMD:CP_Elec_8x10,EEH-ZE1H680V
PESD1CAN-UX,"D1,D2",Package_TO_SOT_SMD:SOT-323_SC-70,PESD1CAN-UX
Polyfuse,"F101,F102",Resistor_SMD:R_1206_3216Metric,1206L012WR
Ferrite_Bead,FB1501,Inductor_SMD:L_0603_1608Metric,BLM18EG221SN1D
Micro_SD_Card,J1,Connector_Card:microSD_HC_Wuerth_693072010801,47219-2001
Conn_01x23,J101,ampseal:ampseal-23,776228-1
Conn_01x35,J102,ampseal:ampseal-35,776231-1
Conn_01x35,J103,ampseal:ampseal-35-2,776231-2
USB_B,"J1503,J1501",Connector_USB:USB_B_TE_5787834_Vertical,5787834-1
USB_B,J1504,conn_5_2.5mm:conn_5_2.5mm,UB-20PMFP-LC7002
AudioJack3,J3,Connector_Audio:Jack_3.5mm_CUI_SJ1-3533NG_Horizontal,SJ1-3533NG
SW_Push,"SW1501,SW1502",Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK,
TLS115,"U1004,U1005",Package_SO:Infineon_PG-DSO-8-43,TLS115D0E
MAX9924,"U1203,U1204",Package_SO:MSOP-10_3x3mm_P0.5mm,MAX9924
VNLD5160,"U201,U202,U301,U302,U401,U402,U501,U502",Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,VNLD5160TR-E